id,name,sub_title,place,actor,date,open_time,start_time,close_time,time_original,max_price,min_price,price_text,link,inquiry,detail,num_of_people,input_table,input_table_rec_id
14,第9回 高機能プラスチック展,展示会・見本市,国際展示場 展示ホール1〜6,リード エグジビション ジャパン株式会社,2020-12-03,10:00,10:00,18:00,10:00～18:00（最終日のみ17:00終了）,5000,0,"有料\5,000/人(招待券持参者無料)",https://www.plas.jp,https://www.m-messe.co.jp/event/detail/6349,「軽量化」「金属代替」「エコ素材」と注目の集まる高機能プラスチック。本展は、原料・添加剤から成形加工、リサイクルに至るまで、プラスチック産業に関するあらゆる技術が出展します。,,csv,14
15,第9回 高機能プラスチック展,展示会・見本市,国際展示場 展示ホール1〜6,リード エグジビション ジャパン株式会社,2020-12-04,10:00,10:00,18:00,10:00～18:00（最終日のみ17:00終了）,5000,0,"有料\5,000/人(招待券持参者無料)",https://www.plas.jp,https://www.m-messe.co.jp/event/detail/6349,「軽量化」「金属代替」「エコ素材」と注目の集まる高機能プラスチック。本展は、原料・添加剤から成形加工、リサイクルに至るまで、プラスチック産業に関するあらゆる技術が出展します。,,csv,15
16,第7回 高機能 金属展,展示会・見本市,国際展示場 展示ホール1〜6,リード エグジビション ジャパン株式会社,2020-12-02,10:00,10:00,18:00,10:00～18:00（最終日のみ17:00終了）,5000,0,"有料\5,000/人(招待券持参者無料)",https://www.metal-japan.jp,https://www.m-messe.co.jp/event/detail/6350,アルミ、銅、チタン、マグネシウム、貴金属、鉄鋼をはじめとした金属材料や、その加工機械、分析・検査機器、鋼材流通など、高機能金属に関するあらゆる技術が出展する商談展です。,,csv,16
17,第7回 高機能 金属展,展示会・見本市,国際展示場 展示ホール1〜6,リード エグジビション ジャパン株式会社,2020-12-03,10:00,10:00,18:00,10:00～18:00（最終日のみ17:00終了）,5000,0,"有料\5,000/人(招待券持参者無料)",https://www.metal-japan.jp,https://www.m-messe.co.jp/event/detail/6350,アルミ、銅、チタン、マグネシウム、貴金属、鉄鋼をはじめとした金属材料や、その加工機械、分析・検査機器、鋼材流通など、高機能金属に関するあらゆる技術が出展する商談展です。,,csv,17
18,第7回 高機能 金属展,展示会・見本市,国際展示場 展示ホール1〜6,リード エグジビション ジャパン株式会社,2020-12-04,10:00,10:00,18:00,10:00～18:00（最終日のみ17:00終了）,5000,0,"有料\5,000/人(招待券持参者無料)",https://www.metal-japan.jp,https://www.m-messe.co.jp/event/detail/6350,アルミ、銅、チタン、マグネシウム、貴金属、鉄鋼をはじめとした金属材料や、その加工機械、分析・検査機器、鋼材流通など、高機能金属に関するあらゆる技術が出展する商談展です。,,csv,18
19,第5回 高機能セラミックス展,展示会・見本市,国際展示場 展示ホール1〜6,リード エグジビション ジャパン株式会社,2020-12-02,10:00,10:00,18:00,10:00～18:00（最終日のみ17:00終了）,5000,0,"有料\5,000/人(招待券持参者無料)",https://www.ceramics-japan.jp,https://www.m-messe.co.jp/event/detail/6351,高機能セラミックス(構造材料、機能材料、生体材料、耐火物)、セラミックス原料(酸化物、蛍光体、窒化物、炭化物)、製造加工技術などが出展する、日本最大の商談展です。,,csv,19
20,第5回 高機能セラミックス展,展示会・見本市,国際展示場 展示ホール1〜6,リード エグジビション ジャパン株式会社,2020-12-03,10:00,10:00,18:00,10:00～18:00（最終日のみ17:00終了）,5000,0,"有料\5,000/人(招待券持参者無料)",https://www.ceramics-japan.jp,https://www.m-messe.co.jp/event/detail/6351,高機能セラミックス(構造材料、機能材料、生体材料、耐火物)、セラミックス原料(酸化物、蛍光体、窒化物、炭化物)、製造加工技術などが出展する、日本最大の商談展です。,,csv,20
21,第5回 高機能セラミックス展,展示会・見本市,国際展示場 展示ホール1〜6,リード エグジビション ジャパン株式会社,2020-12-04,10:00,10:00,18:00,10:00～18:00（最終日のみ17:00終了）,5000,0,"有料\5,000/人(招待券持参者無料)",https://www.ceramics-japan.jp,https://www.m-messe.co.jp/event/detail/6351,高機能セラミックス(構造材料、機能材料、生体材料、耐火物)、セラミックス原料(酸化物、蛍光体、窒化物、炭化物)、製造加工技術などが出展する、日本最大の商談展です。,,csv,21
22,第4回 接着・接合 EXPO,展示会・見本市,国際展示場 展示ホール1〜6,リード エグジビション ジャパン株式会社,2020-12-02,10:00,10:00,18:00,10:00～18:00（最終日のみ17:00終了）,5000,0,"有料\5,000/人(招待券持参者無料)",https://www.joining-expo.jp,https://www.m-messe.co.jp/event/detail/6352,接着・粘着剤などの材料から溶接・摩擦撹拌・超音波・拡散などの接合装置・技術が一堂に出展します。,,csv,22
23,第4回 接着・接合 EXPO,展示会・見本市,国際展示場 展示ホール1〜6,リード エグジビション ジャパン株式会社,2020-12-03,10:00,10:00,18:00,10:00～18:00（最終日のみ17:00終了）,5000,0,"有料\5,000/人(招待券持参者無料)",https://www.joining-expo.jp,https://www.m-messe.co.jp/event/detail/6352,接着・粘着剤などの材料から溶接・摩擦撹拌・超音波・拡散などの接合装置・技術が一堂に出展します。,,csv,23
