title,date,category,target,detail_url,image_url,month_param,detail_title,detail_category,description,date_period,time_main,time_note,detail_target,detail_price,facilities,organizer,official_url,detail_image_url
エヴァンゲリオンワンフェス,2020.12.06(日),展示会・見本市,一般,https://www.m-messe.co.jp/event/detail/6384,https://www.m-messe.co.jp/saved/images/event/f2/4d/56d4cf0a9a38d6f28df2450e63936d1bc895f24d.jpg,202012,エヴァンゲリオンワンフェス,展示会・見本市,エヴァンゲリオン作品限定のガレージキット等の展示・即売イベント,2020年12月6日(日),10:00～17:00,,,,['国際展示場 展示ホール8'],ワンダーフェスティバル実行委員会,https://wonfes.jp/,https://www.m-messe.co.jp/cache/images/event/f2/4d/56d4cf0a9a38d6f28df2450e63936d1bc895f24d.1200x1200.none.jpg
プリパラ&キラッとプリ☆チャン Winter Live 2020,2020.12.06(日),音楽イベント,一般,https://www.m-messe.co.jp/event/detail/6516,https://www.m-messe.co.jp/saved/images/event/91/3a/52a50bc0cf7cc5b731839077a62c441e1752913a.jpg,202012,プリパラ&キラッとプリ☆チャン Winter Live 2020,音楽イベント,「アイドルタイムプリパラ」、「キラッとプリ☆チャン」のアイドルたちが今年も幕張メッセイベントホールに大集合!,2020年12月6日(日),,昼の部:【開場】11:30 【開演】13:00夜の部:【開場】16:30 【開演】18:00,,,['幕張イベントホール'],エイベックスピクチャーズ,https://avex.jp/prichan/news/detail.php?id=1087024&artist_cd=KIRAP,https://www.m-messe.co.jp/cache/images/event/91/3a/52a50bc0cf7cc5b731839077a62c441e1752913a.1200x1200.none.jpg
家具メッセバザールin幕張メッセ,2020.12.11(金) 〜 2020.12.13(日),展示会・見本市,一般,https://www.m-messe.co.jp/event/detail/6481,https://www.m-messe.co.jp/static/images/event/noimage_cat3.jpg,202012,家具メッセバザールin幕張メッセ,展示会・見本市,国内最大級6.800㎡に家具・インテリアが大集合 リビング・ダイニング・ベッドはもちろんカーテン、新作家具や新型デスク多数展示。人気のアウトレットコーナーは毎日商品を入れ替えております。,2020年12月11日(金)～2020年12月13日(日),10:00～18:00,12/11(金)10:00～18:0012/12(土)10:00～19:0012/13(日)10:00～18:00,,,['国際展示場 展示ホール7'],株式会社かねたや家具店,http://www.kanetaya.com,
令和2年度計装士技術審査実地試験,2020.12.12(土),その他,関係者,https://www.m-messe.co.jp/event/detail/6393,https://www.m-messe.co.jp/static/images/event/noimage_cat6.jpg,202012,令和2年度計装士技術審査実地試験,その他,資格試験,2020年12月12日(土),09:00～17:00,,関係者,-,"['国際会議場 コンベンションホール,小会議室203']",一般社団法人日本計装工業会,http://www.keiso.or.jp,
令和2年度就職氷河期世代を対象とした千葉県職員採用選考考査,2020.12.13(日),その他,関係者,https://www.m-messe.co.jp/event/detail/6480,https://www.m-messe.co.jp/static/images/event/noimage_cat6.jpg,202012,令和2年度就職氷河期世代を対象とした千葉県職員採用選考考査,その他,試験,2020年12月13日(日),09:00～15:00,,関係者,無料,"['国際会議場 コンベンションホール,国際会議室,中会議室201,国際会議場各会議室']",千葉県人事委員会事務局任用課,https://www.pref.chiba.lg.jp/jinji/ninyou/saiyoushiken/ryuijikou.html,
初音ミク「マジカルミライ 2020」in TOKYO<ライブ>初音ミク「マジカルミライ 2020」in TOKYO<企画展>,2020.12.18(金) 〜 2020.12.20(日),音楽イベント,一般,https://www.m-messe.co.jp/event/detail/6438,https://www.m-messe.co.jp/saved/images/event/0a/90/8680e884d4027294628f3870050f838860c10a90.jpg,202012,初音ミク「マジカルミライ 2020」in TOKYO<ライブ>初音ミク「マジカルミライ 2020」in TOKYO<企画展>,音楽イベント,創作で繋がる初音ミクたちのライブ&企画展!,2020年12月18日(金)～2020年12月20日(日),,▼初音ミク「マジカルミライ 2020」in TOKYO<ライブ>12月18日(金) [3部]18:00/19:0012月19日(土)-20日(日)共 [1部]10:00/11:00 [2部]14:00/15:00 [3部]18:00/19:00▼初音ミク「マジカルミライ 2020」in TOKYO<企画展>12月18(金)-19日(土)共 9:30～19:0012月20(日) 9:30～18:30※各日最終入場時間は終了時間の30分前までとなります。,,,['国際展示場 展示ホール9〜11'],"TOKYO MX/Crypton Future Media, INC.",https://magicalmirai.com/2020/,https://www.m-messe.co.jp/cache/images/event/0a/90/8680e884d4027294628f3870050f838860c10a90.1200x1200.none.jpg
【開催中止】COUNTDOWN JAPAN 20/21,2020.12.27(日) 〜 2020.12.31(木),音楽イベント,一般,https://www.m-messe.co.jp/event/detail/6401,https://www.m-messe.co.jp/static/images/event/noimage_cat2.jpg,202012,【開催中止】COUNTDOWN JAPAN 20/21,音楽イベント,開催は中止になりました。詳細はイベントHPをご確認ください。,2020年12月27日(日)～2020年12月31日(木),,【開催中止】,,,"['国際展示場 展示ホール1〜8', '国際展示場 展示ホール9〜11', '幕張イベントホール']",株式会社幕張メッセ/J-WAVE,http://countdownjapan.jp/,
住まいのリフォーム博,2021.01.09(土) 〜 2021.01.11(月),展示会・見本市,一般,https://www.m-messe.co.jp/event/detail/6518,https://www.m-messe.co.jp/static/images/event/noimage_cat3.jpg,202101,住まいのリフォーム博,展示会・見本市,実物大構造模型の展示で地震対策や断熱対策などわかりやすくご説明致します。ここでしか聞けないリフォームセミナー&上映会を開催、快適住宅設備の展示でリフォームのお悩みを解決致します。,2021年1月9日(土)～2021年1月11日(月・祝),10:00～17:00,,,,['国際会議場 国際会議室'],住友不動産株式会社,https://www.sokkuri3.com/lp/202101m-messe_event/,
ラッセン原画展-ORIGIN-同時開催ファンタジーアート展,2021.01.09(土) 〜 2021.01.11(月),イベント,一般,https://www.m-messe.co.jp/event/detail/6519,https://www.m-messe.co.jp/saved/images/event/21/ad/a26379b7f38b1d44ebac97dbd574320d458e21ad.jpg,202101,ラッセン原画展-ORIGIN-同時開催ファンタジーアート展,イベント,入場無料/絵画展示販売会,2021年1月9日(土)～2021年1月11日(月・祝),11:00～19:00,初日のみ14時開場、最終日のみ18時閉場,,,['国際会議場 コンベンションホール'],アールビバン株式会社,https://artvivant-event.jp/,https://www.m-messe.co.jp/cache/images/event/21/ad/a26379b7f38b1d44ebac97dbd574320d458e21ad.1200x1200.none.jpg
家具メッセバザールin幕張メッセ,2021.01.09(土) 〜 2021.01.11(月),即売会,一般,https://www.m-messe.co.jp/event/detail/6504,https://www.m-messe.co.jp/static/images/event/noimage_cat5.jpg,202101,家具メッセバザールin幕張メッセ,即売会,国内最大級10.000㎡に家具・インテリアが大集合 リビング、ダイニング、ベッドはもちろんカーテン、新作家具や新型デスク多数展示。人気のアウトレットコーナーは毎日商品を入れ替えております。,2021年1月9日(土)～2021年1月11日(月・祝),,1/9(土)10:00～19:001/10(日)10:00～19:001/11(月.祝)10:00～18:00,,,['国際展示場 展示ホール7〜8'],株式会社 かねたや家具店,http://www.kanetaya.com,
